"","odds.home","home.wins","home.draws","home.losses","home.goals","home.opposition.goals","home.shots","home.opposition.shots","home.shots.on.target","home.opposition.shots.on.target","odds.draw","odds.away","away.wins","away.draws","away.losses","away.goals","away.opposition.goals","away.shots","away.opposition.shots","away.shots.on.target","away.opposition.shots.on.target","result"
"3",1.91,0.14439165471784,-0.404278228750672,0.141569544176554,-0.65970022398044,0.305527844072119,-0.244687610528862,0.117645205036285,0.581702446876055,0.674787989542541,3.4,4.2,-0.91197892123539,-0.404527961659341,1.26092716085949,-0.513599016892026,0.353053791836452,-0.115351664406749,-1.03059819663383,0.0470316438237781,-0.371764246921284,0
"10",2.25,0.649027254505648,-0.404278228750672,-0.383691726757427,0.272484875122356,0.72936436826594,-0.992144556977509,2.04048711228713,-0.0707003677797371,1.80385238993048,3.25,3.4,-0.91197892123539,-0.404527961659341,1.26092716085949,-1.25297478282048,-0.29317586874099,-0.0411669155556366,1.14542738543098,0.642833310768866,1.80897308664082,0
"12",2.38,-0.360243945069968,0.323295384816347,0.141569544176554,-0.846137243800999,0.305527844072119,-0.992144556977509,0.00227469060123471,-0.371809359159333,1.48126256124821,3.3,3,0.0958818605001948,-0.404527961659341,0.194777366311629,-0.513599016892026,-0.0777659818818427,-0.152444038832305,-0.0591582046406128,0.543533032944684,0.555049119842609,0
"13",2.6,-0.360243945069968,-1.13185184231769,1.19209208604451,-0.100389164518763,0.94128263036285,-0.468924694463456,0.656040939066521,0.0296692960134617,1.1049077611189,3.25,2.8,0.0958818605001948,0.323495092569741,-0.338297530962303,-0.143911133927799,0.5684636786956,-0.783014404066758,0.407132991516133,-0.00261849508831253,1.3728256199284,0
"15",1.7,0.649027254505648,-0.404278228750672,-0.383691726757427,0.272484875122356,-0.330226942218612,-1.36587303020183,-0.0361821475437821,-0.421994191055933,0.137138275072095,3.8,5,-0.408048530367598,-0.404527961659341,0.72785226358556,-0.883286899856253,0.353053791836452,-0.783014404066758,1.18428498511071,0.19598206056005,1.64541778662366,0
"16",8,-0.864879544857776,1.05086899838337,0.141569544176554,-0.65970022398044,0.94128263036285,-0.954771709655077,-0.805318910444119,-0.522363854849132,-0.131686582163129,4.33,1.44,1.60767303310357,-0.404527961659341,-1.40444732551017,1.70452828089333,-2.01645496361417,1.81345180572217,-1.73003499086895,1.73513636683486,-0.644356413616547,0
"18",2.25,0.14439165471784,-1.13185184231769,0.666830815110534,1.39110699404571,0.0936095819752088,0.129040862695461,-0.882232586734152,1.13373559773865,-0.346746467951307,3.3,3.3,-0.91197892123539,0.323495092569741,0.72785226358556,-0.328755075409912,0.353053791836452,0.478126326402148,-0.0591582046406128,1.13933469988977,0.500530686503557,0
"19",1.5,1.15366285429346,-0.404278228750672,-0.908952997691407,1.95041805350739,-0.330226942218612,1.77344614488248,-1.49754199705442,2.08724740377404,-0.400511439398352,4,7,0.599812251367987,-0.404527961659341,-0.338297530962303,0.0409328075543143,-0.508585755600138,-1.07975339947121,0.290560192476946,-0.101918772912494,0.500530686503557,0
"20",2,-0.864879544857776,0.323295384816347,0.666830815110534,-0.846137243800999,1.15320089245976,-1.10426309894481,-0.382293690848933,-0.622733518642331,0.352198160860273,3.4,3.8,-0.91197892123539,0.323495092569741,0.72785226358556,-1.06813084133837,0.5684636786956,-1.15393814832232,-0.253446203039257,-0.449469745297128,1.20927031991124,0
"21",6,-0.360243945069968,-0.404278228750672,0.666830815110534,-1.03257426362156,-0.542145204315522,0.0542951680505965,1.30980718753181,0.782441774462453,1.91138233282457,3.75,1.62,1.60767303310357,-0.404527961659341,-1.40444732551017,0.410620690518541,-1.37022530303673,0.700680572955484,-2.42947178510407,0.841433866417228,-1.40761448036328,0
