home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-opposition-shots,home-shots-on-target,home-opposition-shots-on-target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-opposition-shots,away-shots-on-target,away-opposition-shots-on-target,result,odds-home,odds-draw,odds-away
5,3,2,13,9,98,124,40,38,5,1,4,19,17,155,101,54,39,2,3.2,3.4,2.38
2,3,5,15,16,123,126,41,47,2,2,6,8,15,114,119,32,41,1,1.7,3.75,6.0
2,4,4,13,20,128,135,42,50,4,0,6,12,15,102,171,32,59,1,1.91,3.75,4.33
5,2,3,10,7,107,143,40,42,6,3,1,23,8,155,91,55,27,2,7.5,5.0,1.44
10,0,0,33,14,163,123,68,33,6,1,3,20,6,201,90,65,30,2,1.67,4.2,5.25
1,2,7,8,21,131,191,37,77,2,3,5,12,21,124,159,42,65,1,1.91,3.75,4.33
4,3,3,14,15,122,121,50,42,3,0,7,7,20,148,117,42,43,1,1.29,6.0,12.0
2,2,6,9,17,109,120,34,47,3,1,6,11,15,108,139,41,43,1,2.5,3.3,3.1
8,0,2,20,9,149,145,51,43,7,2,1,25,8,156,87,59,27,2,5.0,4.0,1.75
6,1,3,19,9,124,136,47,38,2,2,6,12,19,145,172,41,69,2,1.36,5.75,8.5
3,0,7,7,19,143,122,40,43,2,2,6,12,25,118,162,40,66,1,2.05,3.6,3.8
5,2,3,12,9,108,127,39,39,3,2,5,11,21,120,147,41,62,1,2.3,3.6,3.25
3,2,5,18,16,121,130,46,46,4,1,5,15,16,141,90,45,37,2,2.5,3.4,3.0
3,0,7,10,16,99,177,28,59,5,1,4,16,17,156,105,50,37,1,4.33,3.75,1.91
5,2,3,17,15,125,123,53,43,3,4,3,13,17,131,134,42,47,1,1.29,6.0,13.0
7,0,3,21,5,197,104,65,37,2,1,7,9,21,108,128,41,49,0,1.2,7.5,17.0
5,2,3,10,7,95,145,36,43,9,0,1,30,14,168,124,69,34,0,9.0,5.0,1.4
6,0,4,19,10,135,127,47,34,3,1,6,12,17,103,138,39,45,1,1.36,5.5,9.0
7,2,1,27,10,155,89,58,29,3,1,6,12,18,106,115,37,46,1,1.14,9.5,21.0
3,2,5,12,15,146,177,39,62,3,3,4,12,17,130,134,42,47,1,2.1,3.2,4.2
2,2,6,12,24,111,172,38,66,6,1,3,20,5,195,102,61,38,2,8.0,4.75,1.44
3,1,6,11,24,123,154,40,65,5,2,3,12,9,98,164,38,47,0,2.63,3.5,2.8
2,1,7,9,20,93,133,35,47,7,0,3,21,12,136,157,52,48,2,4.0,3.6,2.0
8,1,1,29,14,173,120,68,35,3,0,7,9,19,142,128,41,44,1,1.22,7.5,13.0
7,2,1,29,10,165,79,64,24,3,0,7,9,15,109,164,31,57,1,1.17,9.0,17.0
1,2,7,8,21,101,142,41,51,5,2,3,14,14,128,127,48,41,2,4.5,3.8,1.85
5,1,4,15,13,134,92,44,35,6,0,4,20,11,139,114,49,30,0,2.63,3.5,2.8
4,1,5,14,15,137,178,41,60,3,2,5,15,13,119,127,44,40,2,2.3,3.4,3.4
5,1,4,16,18,159,112,51,42,3,1,6,12,21,101,110,35,50,1,1.5,4.5,7.5
3,2,5,11,18,127,137,40,48,6,2,2,16,9,124,118,45,34,2,2.1,3.6,3.75
6,2,2,16,13,132,130,54,42,5,3,2,14,10,107,168,43,49,1,1.25,6.5,15.0
5,1,4,18,12,133,115,46,33,4,1,5,17,13,120,140,43,40,2,1.36,5.0,11.0
1,2,7,9,16,138,130,65,83,2,1,7,8,18,92,127,35,44,2,2.5,3.3,3.1
6,2,2,17,10,131,125,45,36,2,1,7,8,23,95,115,32,52,2,1.95,3.5,4.5
3,2,5,12,17,130,138,41,47,4,1,5,15,16,147,172,43,56,0,2.25,3.4,3.5
3,0,7,9,16,106,170,30,61,5,1,4,18,18,156,108,51,41,2,3.8,3.6,2.05
8,1,1,28,15,174,115,68,35,5,2,3,16,11,136,88,48,32,1,1.33,5.75,10.0
2,0,8,6,20,133,128,36,46,7,2,1,26,10,171,76,59,24,2,5.25,4.33,1.67
2,1,7,13,22,124,136,68,76,6,1,3,19,5,206,105,60,39,2,9.0,5.0,1.4
2,1,7,8,23,89,112,30,52,2,0,8,6,21,133,129,33,48,0,2.5,3.4,3.0
5,2,3,15,12,99,163,40,53,3,0,7,8,14,116,163,32,56,2,2.5,3.3,3.1
6,1,3,20,11,132,149,47,44,6,2,2,17,14,139,117,57,42,0,2.8,3.4,2.7
4,2,4,16,13,137,94,51,36,2,3,5,12,18,127,130,42,45,0,1.85,3.7,4.75
5,1,4,18,12,110,141,43,41,2,0,8,13,24,123,139,67,76,1,1.65,4.0,6.0
3,1,6,9,16,88,138,34,47,6,1,3,16,10,137,119,44,33,0,2.5,3.25,3.2
4,2,4,16,16,142,161,41,54,5,1,4,19,11,134,103,50,30,0,5.0,4.0,1.75
6,1,3,19,14,160,114,53,41,0,2,8,6,16,142,134,63,84,1,1.45,4.75,8.0
7,2,1,25,10,171,78,60,20,8,1,1,27,16,169,114,66,40,1,1.85,4.0,4.33
2,0,8,12,23,113,142,57,78,4,2,4,18,12,128,104,46,32,0,6.0,4.2,1.62
5,2,3,19,13,132,146,43,44,7,1,2,20,5,217,101,67,39,2,3.75,3.3,2.2
8,1,1,27,10,165,79,60,20,5,2,3,14,10,139,120,38,33,2,1.18,8.0,18.0
1,1,8,5,21,123,130,29,47,5,2,3,16,14,100,159,43,53,0,1.75,3.75,5.25
0,2,8,4,17,133,142,53,83,4,3,3,16,15,127,160,37,51,1,2.4,3.25,3.3
6,1,3,17,9,99,144,41,36,2,4,4,12,16,118,126,40,42,1,1.85,3.6,4.75
4,0,6,11,13,123,156,39,53,3,3,4,12,11,129,96,47,35,2,2.8,3.4,2.7
2,2,6,7,19,86,113,27,51,2,2,6,8,17,85,140,31,46,1,2.3,3.3,3.5
7,1,2,23,13,161,116,56,39,7,1,2,22,16,161,114,60,41,2,2.7,3.5,2.7
6,3,1,18,9,151,105,57,34,7,1,2,23,10,166,81,54,21,0,3.0,3.4,2.5
7,1,2,20,8,208,106,64,41,7,0,3,18,7,106,147,47,34,1,1.3,5.75,12.0
4,3,3,18,17,98,156,46,55,2,1,7,12,22,109,128,52,69,0,2.25,3.3,3.6
7,1,2,23,15,157,109,61,38,3,2,5,8,16,87,113,30,48,2,1.3,6.0,11.0
4,3,3,13,9,135,85,51,31,1,2,7,8,21,125,134,30,48,1,1.8,3.75,5.0
4,3,3,15,11,135,149,39,45,6,1,3,20,14,153,121,51,43,0,3.6,3.5,2.15
2,3,5,9,16,118,130,36,45,4,2,4,19,18,135,135,43,44,2,3.5,3.5,2.2
4,3,3,18,9,125,100,44,31,1,2,7,3,14,132,149,47,84,1,1.29,6.25,12.0
2,2,6,8,17,84,142,31,47,3,0,7,10,15,118,164,38,58,0,2.15,3.4,3.75
4,2,4,8,14,80,115,25,41,6,3,1,19,10,156,105,60,38,2,4.75,3.6,1.85
2,2,6,12,21,113,130,52,67,4,4,2,17,12,117,144,34,48,0,2.5,3.3,3.1
1,2,7,8,21,129,121,32,44,2,3,5,10,18,90,143,34,48,0,2.2,3.3,3.75
1,1,8,2,17,135,152,47,83,4,2,4,10,10,145,127,36,30,0,2.8,3.25,2.8
6,0,4,17,11,101,168,42,39,4,3,3,13,9,122,89,47,33,2,2.5,3.3,3.1
2,1,7,10,16,123,149,36,57,6,1,3,19,16,164,99,57,35,1,4.5,3.8,1.85
4,2,4,18,18,132,131,39,40,3,4,3,15,17,99,154,41,54,2,1.4,5.0,9.0
7,2,1,23,9,168,86,57,23,8,1,1,24,9,216,103,71,39,0,2.38,3.5,3.1
6,2,2,22,12,153,116,53,39,1,3,6,8,18,121,129,32,45,2,1.53,4.33,7.0
7,3,0,22,7,150,97,58,32,5,2,3,17,12,131,118,43,39,0,1.75,3.9,5.0
7,2,1,22,10,204,115,65,41,4,2,4,8,16,79,110,23,40,1,1.22,7.0,16.0
1,4,5,11,20,92,156,33,53,7,2,1,22,8,168,81,57,22,2,6.5,4.2,1.57
5,1,4,18,18,158,101,54,41,3,2,5,19,21,129,117,42,37,0,1.91,3.75,4.33
3,3,4,17,13,143,100,48,33,3,1,6,12,15,125,143,42,54,1,1.4,5.5,8.0
5,3,2,13,5,128,79,50,27,1,2,7,4,17,148,146,47,77,1,1.44,4.6,8.5
4,4,2,15,10,120,145,37,50,6,0,4,17,11,94,171,42,39,0,2.9,3.3,2.63
2,2,6,6,15,125,116,31,38,2,3,5,11,15,116,124,51,59,1,2.0,3.5,4.2
4,3,3,12,9,149,130,38,27,1,3,6,10,19,140,123,35,43,1,2.15,3.4,3.8
4,1,5,8,19,80,124,23,46,7,2,1,23,9,169,81,57,24,2,7.5,4.5,1.5
1,4,5,13,21,89,164,34,53,3,4,3,16,17,104,154,42,52,1,2.1,3.5,3.8
4,2,4,16,17,172,99,58,41,3,2,5,9,12,135,107,34,34,1,1.44,5.0,7.5
3,5,2,13,9,128,121,37,36,4,3,3,12,9,151,133,38,27,1,2.55,3.25,3.1
6,1,3,17,10,94,160,39,39,1,3,6,10,19,143,125,35,43,0,1.91,3.7,4.33
7,2,1,24,10,195,115,70,38,6,4,0,20,7,152,91,56,34,1,1.67,4.2,5.25
4,3,3,19,12,142,96,49,32,3,3,4,18,19,123,134,42,41,1,1.67,4.2,5.25
5,2,3,15,10,117,128,39,40,6,3,1,15,5,128,83,52,25,1,2.2,3.5,3.5
3,1,6,12,14,126,137,44,49,1,2,7,5,17,133,154,38,82,1,1.91,3.6,4.5
5,4,1,17,9,150,83,50,33,2,3,5,13,19,96,165,32,52,0,1.4,5.0,9.0
1,4,5,8,18,118,132,46,56,4,1,5,14,13,124,136,43,49,2,2.8,3.4,2.7
2,4,4,15,19,104,156,41,50,8,2,0,25,8,169,118,58,35,2,8.5,4.75,1.44
2,3,5,17,21,116,140,43,43,4,1,5,7,17,75,140,21,45,1,1.6,4.0,6.5
7,2,1,23,9,180,84,58,23,5,2,3,13,9,112,124,38,39,1,1.45,4.75,8.0
6,2,2,15,6,132,86,53,28,3,5,2,12,10,115,126,33,40,1,1.57,4.0,7.0
1,1,8,5,19,128,152,36,78,4,2,4,15,16,177,94,59,40,2,6.0,4.2,1.6
