odds-home,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-opposition-shots,home-shots-on-target,home-opposition-shots-on-target,odds-draw,odds-away,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-opposition-shots,away-shots-on-target,away-opposition-shots-on-target,result
4.5,3,4,3,10,14,101,148,48,77,3.6,1.8,5,2,3,16,15,141,98,79,54,D
2.5,4,3,3,10,15,76,134,43,81,3.25,2.88,3,5,2,8,6,108,127,62,61,D
2.0,2,2,6,7,17,98,136,48,77,3.4,3.8,1,2,7,6,21,128,125,62,77,H
4.5,5,1,4,15,12,142,114,78,67,3.5,1.83,7,2,1,21,6,184,76,114,40,D
2.1,3,2,5,9,15,135,109,68,51,3.3,3.6,0,3,7,9,19,97,119,41,65,H
1.25,7,1,2,23,3,187,87,104,38,5.5,15.0,1,3,6,4,14,105,154,52,79,D
2.05,3,5,2,12,11,116,117,63,58,3.2,3.4,2,6,2,14,13,99,141,55,59,A
1.83,0,3,7,9,20,102,111,42,61,3.5,4.5,4,4,2,9,13,74,126,40,76,H
2.2,4,1,5,12,13,135,139,73,68,3.25,3.4,2,5,3,10,13,117,119,58,58,H
2.2,3,6,1,8,5,103,120,63,55,3.25,3.5,2,5,3,10,15,103,144,49,79,H
2.1,3,4,3,16,16,121,162,64,86,3.25,3.75,3,1,6,10,16,106,137,53,76,A
3.0,1,4,5,4,12,96,161,49,85,3.4,2.37,5,3,2,17,10,99,111,53,57,A
2.4,5,2,3,16,15,145,98,83,52,3.25,3.0,6,3,1,16,7,157,81,73,40,D
2.37,3,5,2,15,11,98,146,51,60,3.4,3.0,5,2,3,15,11,126,119,68,73,H
3.25,0,2,8,5,25,129,127,60,82,3.3,2.25,2,3,5,12,13,127,111,69,63,H
5.0,5,2,3,12,10,105,137,56,82,3.6,1.73,6,2,2,22,4,179,83,101,37,D
2.5,6,2,2,18,10,99,120,54,67,3.3,2.87,4,3,3,14,15,129,101,72,55,D
1.14,5,3,2,17,4,164,86,89,41,7.5,21.0,1,2,7,7,22,135,120,65,75,H
1.33,5,4,1,14,6,150,80,72,39,4.5,12.0,5,0,5,14,14,144,139,79,72,H
1.8,2,2,6,11,13,118,117,68,68,3.6,4.5,2,4,4,16,20,123,163,68,87,H
2.5,2,5,3,10,13,108,142,50,78,3.3,2.87,5,3,2,11,7,108,121,61,70,A
2.2,2,4,4,11,15,117,128,60,65,3.25,3.4,1,4,5,4,12,99,159,57,85,A
12.0,3,4,3,7,15,81,125,41,79,5.0,1.3,6,3,1,19,6,181,81,117,43,A
2.25,4,0,6,14,17,107,138,52,75,3.25,3.3,1,2,7,12,20,104,115,50,61,D
1.72,5,2,3,15,11,126,119,68,74,3.6,5.0,4,5,1,11,5,109,118,67,53,D
2.25,4,2,4,12,14,124,114,64,53,3.3,3.25,4,4,2,15,10,99,137,53,58,H
1.4,3,4,3,14,17,117,107,68,61,4.5,10.0,2,3,5,11,18,117,135,62,69,H
2.62,1,2,7,11,19,98,123,48,67,3.3,2.87,2,2,6,13,14,123,123,72,73,D
2.3,5,0,5,14,15,138,138,78,71,3.25,3.4,5,2,3,12,12,128,102,65,49,A
1.8,6,2,2,11,6,106,110,58,61,3.6,5.0,3,1,6,12,16,106,135,57,73,H
6.5,4,5,1,10,4,110,111,69,48,3.75,1.61,6,3,1,19,3,173,84,99,40,D
5.0,4,4,2,15,10,94,134,51,60,3.6,1.8,5,4,1,16,6,160,70,77,36,A
3.5,1,2,7,7,21,117,127,51,80,3.4,2.2,4,3,3,13,11,121,119,66,78,H
1.72,2,4,4,8,11,108,160,63,89,3.6,5.5,3,4,3,7,13,78,124,38,77,H
1.2,6,3,1,16,6,180,81,113,44,6.5,19.0,2,4,4,9,13,110,140,53,79,H
4.33,1,4,5,14,25,122,162,69,87,3.6,1.91,5,3,2,16,12,103,111,56,68,A
1.36,4,3,3,11,13,108,102,63,58,4.33,11.0,5,0,5,14,15,134,137,74,71,H
1.4,5,3,2,14,10,102,108,55,66,4.33,9.0,2,2,6,8,19,120,121,58,78,H
1.62,6,2,2,13,6,105,100,57,54,3.75,6.0,1,4,5,14,23,120,142,67,79,H
2.25,1,4,5,7,14,112,155,52,84,3.2,3.4,3,1,6,12,18,105,136,58,73,D
2.2,3,4,3,14,14,94,137,53,68,3.3,3.4,3,4,3,10,10,119,147,69,82,D
10.0,2,4,4,7,15,77,130,37,80,4.5,1.36,5,4,1,20,7,156,76,79,42,D
2.2,7,2,1,16,5,190,75,112,37,3.2,3.5,5,4,1,18,5,165,79,102,37,H
2.5,6,2,2,13,8,121,107,67,50,3.25,2.88,4,2,4,9,9,116,116,63,77,H
1.2,7,2,1,17,5,183,81,111,42,6.0,15.0,7,2,1,14,6,129,106,70,51,H
2.0,1,3,6,11,18,98,128,49,66,3.4,3.8,2,5,3,14,16,104,143,58,78,H
8.0,4,0,6,12,16,116,140,64,74,3.8,1.5,7,2,1,14,2,172,83,106,38,A
1.2,4,4,2,13,8,158,92,97,48,6.5,15.0,1,5,4,5,14,75,124,32,77,H
5.5,1,4,5,11,21,114,130,60,73,4.0,1.62,5,3,2,11,11,109,97,66,55,A
2.0,2,3,5,15,14,123,129,67,76,3.4,3.75,6,2,2,12,6,130,99,65,49,H
3.25,3,2,5,13,14,114,128,63,65,3.25,2.25,6,3,1,16,9,117,106,67,65,A
2.38,2,1,7,7,19,114,133,56,86,3.3,3.0,1,4,5,7,14,110,152,48,81,H
1.73,3,2,5,7,9,114,115,62,76,3.6,5.0,2,3,5,11,18,117,125,64,66,D
2.1,3,4,3,11,11,118,157,72,87,3.3,3.6,3,6,1,10,6,108,125,69,60,H
1.62,5,5,0,19,5,149,73,76,38,3.75,6.0,6,2,2,14,6,104,90,58,49,D
3.25,2,4,4,11,17,112,139,60,73,3.4,2.3,7,3,0,17,8,107,100,61,63,A
2.25,3,2,5,13,14,114,122,63,63,3.3,3.5,3,6,1,11,8,102,127,69,63,H
1.61,2,3,5,6,9,126,117,68,73,3.8,6.5,1,4,5,6,16,77,139,32,85,H
10.0,3,1,6,10,16,122,131,62,79,5.0,1.36,8,2,0,14,0,171,79,110,33,A
2.0,2,2,6,12,16,98,123,48,61,3.25,4.5,3,0,7,11,17,113,140,60,76,D
1.25,4,4,2,13,9,177,88,106,46,6.0,15.0,0,4,6,5,16,104,150,43,80,H
3.0,5,3,2,12,6,99,84,57,41,3.3,2.5,5,3,2,12,11,111,84,68,49,D
1.75,3,3,4,16,12,122,124,64,70,3.75,5.0,2,5,3,13,17,101,141,54,76,H
1.83,4,4,2,13,9,114,154,66,85,3.6,4.75,1,4,5,12,23,102,133,52,76,H
5.0,6,1,3,12,7,123,107,57,51,3.5,1.83,4,6,0,17,6,147,76,71,42,D
1.5,5,4,1,13,10,107,82,64,46,4.2,7.0,5,3,2,15,9,128,158,74,90,D
1.61,7,3,0,16,8,107,106,57,63,3.7,6.0,6,1,3,11,6,114,100,51,47,D
2.75,3,1,6,13,17,107,140,56,82,3.3,2.62,3,3,4,8,8,141,107,79,62,H
2.0,2,6,2,9,8,106,130,71,67,3.3,4.0,1,4,5,9,17,119,139,63,69,H
2.2,1,3,6,10,23,106,146,58,81,3.2,3.5,3,1,6,10,18,119,133,63,80,D
1.36,8,2,0,14,0,167,86,105,36,4.5,10.0,5,3,2,12,6,91,80,53,42,H
2.5,0,3,7,4,17,100,158,45,85,3.3,2.87,2,3,5,14,16,105,114,57,53,D
3.25,1,4,5,7,14,80,140,34,84,3.3,2.25,4,3,3,17,11,127,112,64,62,H
2.5,3,7,0,16,7,142,64,70,34,3.1,3.1,4,4,2,12,9,185,82,109,48,H
2.6,2,4,4,12,17,86,143,46,76,3.2,2.8,3,2,5,12,13,120,121,68,63,D
2.87,2,4,4,13,14,104,111,59,51,3.3,2.5,7,3,0,16,8,113,103,61,60,A
1.2,4,3,3,12,11,164,101,96,63,6.0,19.0,1,3,6,10,23,109,145,64,81,D
1.72,5,3,2,12,6,91,85,55,46,3.4,5.5,3,1,6,13,18,109,135,58,87,H
1.61,4,2,4,15,10,132,108,63,60,3.75,6.0,0,4,6,3,14,89,162,44,90,H
5.0,1,3,6,10,20,120,134,62,70,3.3,1.8,4,6,0,18,7,145,62,78,29,A
1.83,3,3,4,13,13,119,126,71,68,3.5,4.5,1,4,5,7,14,78,149,31,89,H
2.25,3,2,5,12,19,124,140,68,85,3.3,3.25,2,4,4,13,18,99,134,56,71,A
2.0,5,2,3,10,6,111,109,49,56,3.4,3.8,2,6,2,10,8,96,135,63,70,D
3.0,2,3,5,9,11,138,111,82,63,3.3,2.4,5,5,0,13,7,111,72,67,40,D
6.5,4,4,2,14,9,120,156,71,92,3.75,1.57,9,1,0,15,0,172,83,108,33,A
2.87,1,2,7,10,21,115,135,62,73,3.25,2.5,4,2,4,13,10,140,104,67,59,H
1.25,9,1,0,15,0,171,82,106,37,5.5,13.0,2,6,2,10,8,98,127,59,66,H
1.4,4,6,0,11,6,106,76,62,41,4.33,9.0,4,3,3,14,9,117,120,68,63,D
3.3,8,2,0,18,8,116,115,65,66,3.3,2.25,4,4,2,11,9,165,104,97,61,A
2.3,2,1,7,9,20,105,141,56,89,3.3,3.1,4,3,3,14,10,122,146,73,90,H
1.25,9,1,0,17,0,161,85,100,35,5.5,13.0,2,4,4,13,15,112,110,61,52,H
2.4,0,3,7,3,15,82,172,41,97,3.25,3.0,4,3,3,8,5,104,100,43,49,D
2.5,1,3,6,6,15,73,155,27,90,3.25,2.87,1,2,7,9,19,121,135,65,78,D
1.8,2,5,3,10,11,98,132,57,71,3.5,4.75,3,2,5,13,20,120,133,66,83,H
1.57,5,5,0,21,9,138,64,79,33,3.75,7.0,4,2,4,13,11,140,107,73,60,D
2.87,3,3,4,16,20,99,133,58,71,3.25,2.5,5,3,2,14,6,103,78,60,44,D
3.0,1,3,6,9,22,115,148,63,82,3.3,2.37,2,4,4,9,10,140,107,82,58,A
1.4,3,7,0,10,6,111,69,67,39,4.33,9.0,3,4,3,11,10,105,125,58,69,D
1.28,4,4,2,10,9,172,95,102,55,5.0,13.0,4,4,2,8,4,106,95,45,48,H
1.5,5,4,1,12,3,106,77,58,39,4.0,7.5,3,1,6,12,21,114,146,63,89,H
5.5,0,4,6,2,13,79,167,37,96,3.5,1.72,4,6,0,19,9,146,67,78,34,H
1.4,7,2,1,15,7,123,121,65,71,4.0,10.0,1,3,6,6,15,67,152,25,86,D
2.0,3,1,6,11,19,96,147,53,94,3.3,4.0,3,3,4,14,18,94,136,52,72,H
2.87,0,3,7,8,23,110,148,60,81,3.25,2.5,2,4,4,12,14,114,116,66,53,A
2.5,4,3,3,15,10,128,141,81,86,3.25,2.87,4,2,4,13,11,135,113,70,57,H
1.4,4,5,1,17,9,140,63,75,34,4.33,9.5,4,4,2,14,8,118,109,68,57,H
6.5,1,2,7,10,20,121,127,64,72,3.75,1.57,5,3,2,11,9,170,104,103,60,A
6.5,3,1,6,12,19,117,141,66,85,3.75,1.57,3,7,0,9,5,110,73,64,39,A
2.5,3,4,3,13,12,115,115,69,52,3.25,2.9,5,4,1,13,3,106,87,60,44,D
1.66,3,4,3,11,10,108,135,55,75,3.6,5.75,0,2,8,7,23,110,134,62,77,A
2.5,4,2,4,13,11,137,115,68,62,3.3,2.87,6,3,1,13,7,118,119,65,69,H
7.5,2,3,5,11,19,103,128,58,72,4.0,1.5,10,0,0,19,1,161,86,95,36,A
2.5,1,3,6,8,17,68,154,26,87,3.25,2.9,4,1,5,10,15,97,150,54,98,H
1.83,2,4,4,9,11,132,108,76,58,3.5,4.5,1,3,6,3,12,76,166,37,92,H
2.2,3,4,3,6,6,109,101,47,57,3.3,3.4,5,2,3,15,9,137,131,88,76,A
2.87,3,4,3,10,10,107,117,60,63,3.3,2.5,3,3,4,13,11,133,108,77,52,D
2.25,2,4,4,8,11,106,133,51,73,3.2,3.4,3,5,2,13,9,112,114,68,52,A
1.44,4,6,0,11,5,120,71,69,37,4.33,8.0,3,5,2,12,10,118,110,68,56,H
2.1,3,1,6,8,16,90,153,53,99,3.25,3.75,2,3,5,9,13,106,135,52,75,A
1.5,5,4,1,13,3,105,89,57,45,4.0,7.5,2,3,5,10,14,65,156,28,87,H
2.62,1,2,7,7,19,106,136,57,80,3.25,2.75,1,3,6,10,20,105,128,60,75,D
1.91,10,0,0,20,2,155,89,94,39,3.3,4.5,5,4,1,18,8,152,62,81,33,A
2.2,1,3,6,3,13,79,159,38,86,3.2,3.5,1,2,7,10,18,116,137,67,78,D
2.2,2,5,3,7,10,100,116,57,63,3.2,3.5,2,4,4,4,6,118,104,50,58,A
2.0,5,3,2,12,9,115,117,66,63,3.3,4.0,3,4,3,13,10,135,109,79,51,A
1.4,6,2,2,12,9,184,107,112,61,4.5,9.0,5,2,3,14,9,141,110,68,60,H
1.67,6,2,2,16,8,128,141,79,80,3.6,5.75,2,1,7,11,21,113,146,63,86,D
1.9,3,4,3,12,14,118,115,68,60,3.4,4.33,5,3,2,12,7,121,128,74,70,D
8.0,3,2,5,10,12,115,130,58,70,4.2,1.44,9,0,1,20,6,141,91,90,43,H
5.0,1,4,5,10,19,109,126,60,72,3.6,1.72,5,5,0,13,3,130,65,75,31,A
2.75,1,3,6,10,17,116,134,66,79,3.2,2.62,5,4,1,15,4,111,92,64,45,H
2.25,2,3,5,11,16,69,156,30,90,3.3,3.3,1,4,5,4,13,88,156,44,84,H
4.5,4,3,3,15,11,131,110,81,49,3.5,1.83,6,2,2,11,9,179,107,103,62,H
2.4,2,2,6,11,19,115,132,65,75,3.3,3.0,3,1,6,9,16,100,149,60,99,D
1.44,5,4,1,19,9,143,72,79,40,4.2,8.0,5,2,3,11,9,113,119,62,66,H
1.66,4,2,4,9,9,124,113,55,55,3.6,5.5,2,4,4,8,12,94,118,52,65,H
1.72,2,4,4,5,7,117,97,48,53,3.6,5.0,1,3,6,7,15,100,122,48,67,H
1.53,5,5,0,15,4,134,72,78,36,3.75,7.5,5,1,4,8,7,129,108,62,54,H
2.62,3,4,3,11,13,122,108,73,59,3.25,2.75,5,3,2,16,9,135,108,82,47,H
2.1,3,2,5,10,16,100,150,63,96,3.3,3.6,1,4,5,4,13,98,138,50,75,H
6.0,4,2,4,11,9,121,132,59,71,3.75,1.61,5,4,1,19,8,140,68,74,37,A
2.62,1,3,6,7,15,100,131,47,70,3.25,2.75,2,3,5,11,14,111,123,63,72,D
5.0,1,4,5,10,17,110,124,61,70,3.6,1.72,6,1,3,9,8,175,110,98,64,A
2.2,1,3,6,10,20,109,142,58,83,3.25,3.4,3,3,4,11,14,71,158,29,91,A
2.1,4,4,2,11,7,112,135,69,76,3.2,3.75,2,4,4,8,10,92,126,52,69,H
1.72,4,4,2,13,6,106,100,60,51,3.4,5.5,2,4,4,5,7,120,99,49,52,H
1.4,8,0,2,17,8,140,96,87,43,4.33,9.0,4,2,4,10,14,112,125,63,70,H
1.25,7,1,2,11,5,181,102,102,57,5.5,15.0,4,2,4,14,16,114,155,70,91,H
1.33,6,3,1,20,8,152,66,81,38,4.75,11.0,3,4,3,10,14,124,107,75,59,H
2.1,1,3,6,4,16,108,144,51,79,3.3,3.75,1,4,5,7,13,104,130,48,67,H
1.73,2,4,4,11,13,114,121,62,66,3.5,5.5,1,3,6,9,20,112,130,61,76,D
2.5,4,2,4,13,14,75,163,35,97,3.25,2.88,1,3,6,8,17,95,128,53,69,D
7.5,2,3,5,7,11,96,133,56,77,4.0,1.5,8,0,2,19,10,145,91,90,48,A
1.73,5,3,2,17,10,138,106,82,48,3.5,5.5,5,3,2,11,5,116,128,69,73,H
5.25,2,4,4,5,10,121,104,54,56,3.5,1.73,5,5,0,16,4,137,79,78,38,A
2.2,3,2,5,10,16,99,130,58,73,3.25,3.5,4,4,2,15,6,112,109,65,59,D
1.91,4,1,5,7,9,128,110,63,57,3.4,4.33,4,2,4,11,9,109,135,52,70,A
1.67,2,3,5,11,18,110,131,63,73,3.6,5.5,4,3,3,8,5,113,133,68,77,D
2.25,2,3,5,7,14,114,144,57,77,3.25,3.3,4,2,4,11,9,118,136,57,69,D
2.1,2,4,4,12,14,117,107,62,58,3.3,3.6,4,2,4,17,19,121,159,74,87,H
2.4,4,3,3,13,13,88,134,40,77,3.25,3.0,3,3,4,8,16,116,120,68,66,H
1.91,2,3,5,7,11,99,147,57,82,3.4,4.2,1,4,5,7,13,112,132,51,67,H
1.57,3,1,6,6,11,127,123,61,67,3.8,6.5,0,4,6,8,22,112,135,60,77,H
1.67,6,2,2,17,9,126,103,76,50,3.6,5.5,1,4,5,9,15,93,136,52,71,H
1.72,7,2,1,23,7,165,66,88,37,3.6,5.0,5,5,0,17,4,139,86,77,40,D
1.44,7,1,2,13,7,164,112,89,62,4.2,8.5,4,4,2,17,8,115,115,65,62,D
1.25,8,0,2,20,11,147,96,85,53,5.5,13.0,3,4,3,13,13,120,103,64,57,H
3.1,4,1,5,15,18,117,164,70,85,3.3,2.37,1,4,5,11,19,118,132,68,74,D
1.83,4,4,2,16,7,122,126,67,64,3.5,4.5,4,1,5,10,12,128,142,65,80,A
1.75,4,2,4,11,9,121,144,61,80,3.5,5.0,5,3,2,13,10,88,115,39,64,H
10.0,1,4,5,7,12,110,115,42,58,4.5,1.36,7,2,1,26,10,177,71,98,40,A
1.44,8,0,2,17,11,150,91,89,50,4.0,9.0,6,2,2,15,8,126,105,80,50,H
2.5,0,4,6,10,21,128,136,73,78,3.3,2.87,2,3,5,7,11,91,145,50,77,H
4.75,3,4,3,7,6,106,135,64,72,3.3,1.85,6,2,2,11,7,159,119,83,62,A
1.5,5,5,0,20,7,140,101,77,52,4.2,7.5,2,4,4,7,12,125,132,66,71,H
1.9,3,2,5,8,17,104,119,59,64,3.4,4.2,2,4,4,6,13,117,109,53,61,H
2.0,1,4,5,8,14,99,144,54,82,3.5,3.75,3,4,3,12,12,113,117,59,65,D
1.53,7,2,1,12,5,175,106,90,53,3.8,7.0,5,2,3,12,6,126,136,68,73,H
